	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d
7	31.76	1.51	2.85	0.21	3.05	0.56	27.07	2.06	8.70	0.32	7.13	0.98	13.02	1.43	0.64	0.56	-20.93	1.79	63.14	0.62	-8.13	2.80	-4.25	2.04	5.21	2.91	1.14	0.33	-26.57	1.28	64.92	1.45	-6.17	0.77	-10.35	1.34	31.59	2.92	2.41	24.41	27.54	8.43	8.48	7.59	6.25	13.26	0.00	-18.90	62.62	-9.57	-5.76	1.53	7.76	1.18	0.67	-26.93	-27.33	64.07	66.99	-6.37	-5.76	-10.72	-11.55	30.34	3.02	3.33	26.95	9.13	8.30	11.48	0.82	-22.28	63.83	-9.90	-5.06	4.24	1.34	-27.36	63.81	-5.40	-8.44	33.34	2.62	3.41	29.39	8.77	6.40	14.32	1.08	-21.61	62.96	-4.90	-1.93	7.32	1.38	-24.67	64.79	-7.16	-10.70
8	31.06	1.58	3.78	0.18	2.86	0.66	26.63	1.94	9.69	0.30	7.58	1.20	14.19	1.65	0.56	0.67	-19.56	2.27	63.51	0.41	-7.39	2.98	-4.60	2.12	6.40	2.77	0.94	0.29	-25.46	1.56	65.40	1.36	-5.26	0.84	-10.40	1.34	30.76	3.93	2.10	24.10	27.00	9.48	9.39	8.13	6.63	14.30	-0.20	-17.08	63.18	-8.70	-6.31	2.82	8.73	1.04	0.54	-25.78	-26.33	64.67	67.38	-5.56	-4.82	-10.83	-11.55	29.64	3.82	3.29	26.61	10.03	9.02	12.49	0.83	-21.53	63.97	-9.50	-5.27	5.61	0.93	-26.57	64.34	-4.37	-8.46	32.77	3.58	3.19	28.81	9.85	6.55	15.78	1.05	-20.08	63.38	-3.98	-2.23	8.43	1.23	-23.17	65.21	-6.28	-10.77
9	30.21	1.65	4.64	0.19	2.65	0.70	26.13	1.72	10.64	0.28	7.98	1.36	15.13	1.89	0.48	0.71	-18.40	2.52	64.14	0.20	-6.70	3.12	-4.77	2.12	7.47	2.47	0.80	0.28	-24.43	1.70	66.18	1.24	-4.34	0.93	-10.36	1.26	29.81	4.86	1.85	23.92	26.34	10.53	10.29	8.65	6.95	15.11	-0.33	-15.71	63.96	-7.95	-6.55	4.24	9.44	0.96	0.50	-24.68	-25.53	65.60	67.99	-4.67	-4.02	-10.87	-11.31	28.80	4.57	3.16	26.15	10.89	9.57	13.25	0.79	-20.70	64.35	-9.01	-5.32	6.84	0.63	-25.55	65.19	-3.26	-8.51	32.03	4.50	2.95	28.13	10.85	6.75	17.03	0.99	-18.78	64.12	-3.16	-2.43	9.36	1.11	-21.96	65.93	-5.43	-10.73
10	29.25	1.70	5.36	0.21	2.40	0.67	25.52	1.47	11.49	0.27	8.21	1.46	15.76	2.14	0.46	0.69	-17.42	2.53	64.90	0.13	-6.07	3.19	-4.71	2.05	8.26	2.09	0.71	0.27	-23.44	1.73	67.09	1.11	-3.52	1.07	-10.15	1.11	28.78	5.60	1.63	23.71	25.54	11.50	11.09	8.97	7.10	15.61	-0.33	-14.77	64.80	-7.34	-6.47	5.53	9.80	0.91	0.51	-23.53	-24.92	66.66	68.71	-3.77	-3.45	-10.77	-10.84	27.84	5.20	2.91	25.51	11.64	9.88	13.70	0.76	-19.81	64.86	-8.43	-5.21	7.74	0.45	-24.33	66.19	-2.13	-8.50	31.14	5.29	2.65	27.30	11.70	6.88	17.97	0.95	-17.68	65.05	-2.44	-2.46	9.99	0.99	-21.00	66.81	-4.73	-10.51
11	28.22	1.74	5.89	0.23	2.07	0.58	24.74	1.22	12.14	0.29	8.19	1.48	16.06	2.37	0.51	0.62	-16.65	2.35	65.68	0.32	-5.52	3.21	-4.46	1.93	8.72	1.70	0.63	0.25	-22.55	1.78	68.03	0.99	-2.89	1.31	-9.76	0.96	27.70	6.12	1.43	23.35	24.59	12.29	11.71	8.96	7.06	15.79	-0.19	-14.24	65.60	-6.90	-6.09	6.53	9.83	0.86	0.51	-22.34	-24.56	67.73	69.47	-2.96	-3.23	-10.44	-10.20	26.81	5.66	2.54	24.67	12.22	9.88	13.84	0.76	-18.93	65.42	-7.81	-4.95	8.23	0.35	-23.02	67.21	-1.11	-8.34	30.16	5.89	2.24	26.33	12.32	6.85	18.56	0.97	-16.77	66.04	-1.85	-2.34	10.27	0.82	-20.27	67.73	-4.27	-10.08
12	27.16	1.74	6.21	0.23	1.69	0.42	23.81	1.03	12.55	0.29	7.92	1.42	16.10	2.57	0.67	0.50	-16.14	2.03	66.45	0.53	-5.13	3.23	-4.05	1.77	8.84	1.36	0.51	0.20	-21.87	1.99	68.95	0.89	-2.58	1.64	-9.18	0.81	26.63	6.41	1.26	22.79	23.53	12.79	12.14	8.66	6.84	15.73	0.10	-14.14	66.33	-6.68	-5.51	7.18	9.61	0.74	0.45	-21.28	-24.58	68.73	70.24	-2.36	-3.45	-9.84	-9.44	25.75	5.95	2.09	23.67	12.58	9.56	13.74	0.83	-18.19	65.99	-7.29	-4.57	8.33	0.26	-21.80	68.18	-0.38	-8.00	29.11	6.26	1.74	25.24	12.69	6.62	18.83	1.07	-16.08	67.02	-1.42	-2.09	10.24	0.58	-19.81	68.63	-4.13	-9.47
13	26.12	1.72	6.35	0.21	1.31	0.26	22.76	0.90	12.73	0.25	7.49	1.30	15.97	2.72	0.91	0.39	-16.00	1.64	67.18	0.71	-5.01	3.25	-3.53	1.59	8.71	1.11	0.29	0.14	-21.55	2.38	69.81	0.83	-2.65	1.98	-8.44	0.68	25.62	6.51	1.15	22.04	22.38	12.99	12.39	8.21	6.55	15.55	0.49	-14.53	67.01	-6.77	-4.78	7.50	9.22	0.48	0.31	-20.59	-25.03	69.65	71.01	-2.10	-4.09	-8.98	-8.64	24.71	6.11	1.60	22.54	12.73	8.95	13.48	0.97	-17.77	66.57	-7.00	-4.08	8.11	0.13	-20.90	69.09	-0.09	-7.45	28.04	6.43	1.17	24.08	12.83	6.25	18.87	1.27	-15.70	67.96	-1.26	-1.74	9.99	0.25	-19.67	69.48	-4.34	-8.71
14	25.13	1.68	6.38	0.17	0.98	0.31	21.64	0.83	12.74	0.18	7.00	1.13	15.74	2.82	1.23	0.31	-16.31	1.27	67.88	0.87	-5.20	3.28	-2.95	1.41	8.41	0.96	-0.02	0.11	-21.67	2.81	70.61	0.79	-3.11	2.26	-7.60	0.58	24.70	6.49	1.16	21.13	21.18	12.93	12.51	7.74	6.29	15.33	0.94	-15.42	67.65	-7.19	-3.97	7.58	8.75	0.07	0.07	-20.45	-25.87	70.49	71.75	-2.22	-5.04	-7.91	-7.91	23.71	6.18	1.16	21.37	12.69	8.16	13.15	1.18	-17.77	67.14	-7.01	-3.53	7.69	-0.07	-20.48	69.93	-0.33	-6.74	26.98	6.47	0.62	22.88	12.81	5.80	18.75	1.56	-15.75	68.84	-1.41	-1.34	9.62	-0.14	-19.88	70.27	-4.85	-7.86
15	24.19	1.62	6.35	0.12	0.78	0.56	20.50	0.81	12.63	0.10	6.54	0.95	15.48	2.90	1.58	0.29	-17.07	1.02	68.54	1.00	-5.69	3.30	-2.36	1.25	8.02	0.90	-0.40	0.14	-22.18	3.15	71.36	0.76	-3.83	2.37	-6.76	0.59	23.85	6.40	1.31	20.14	19.98	12.71	12.53	7.35	6.13	15.11	1.40	-16.71	68.26	-7.86	-3.19	7.49	8.24	-0.43	-0.23	-20.85	-26.90	71.27	72.46	-2.67	-6.07	-6.75	-7.35	22.76	6.22	0.82	20.18	12.55	7.29	12.78	1.43	-18.22	67.71	-7.33	-2.96	7.17	-0.36	-20.60	70.72	-1.06	-5.95	25.95	6.44	0.20	21.70	12.71	5.40	18.54	1.92	-16.29	69.65	-1.89	-0.93	9.20	-0.56	-20.38	71.01	-5.53	-7.01
16	23.28	1.57	6.29	0.08	0.73	0.81	19.36	0.81	12.47	0.10	6.18	0.80	15.17	2.95	1.97	0.32	-18.13	0.87	69.15	1.09	-6.35	3.26	-1.84	1.13	7.60	0.90	-0.77	0.19	-22.89	3.30	72.05	0.73	-4.62	2.27	-6.03	0.79	23.06	6.26	1.59	19.10	18.79	12.46	12.46	7.04	6.10	14.88	1.85	-18.15	68.82	-8.59	-2.54	7.31	7.68	-0.91	-0.54	-21.59	-27.83	71.99	73.10	-3.30	-6.90	-5.63	-7.03	21.84	6.23	0.62	19.00	12.36	6.45	12.38	1.72	-19.00	68.26	-7.86	-2.44	6.62	-0.69	-21.15	71.44	-2.13	-5.20	24.95	6.38	-0.02	20.55	12.61	5.12	18.25	2.34	-17.26	70.37	-2.62	-0.54	8.78	-0.94	-20.99	71.69	-6.15	-6.25
17	22.39	1.53	6.19	0.11	0.84	1.01	18.24	0.82	12.33	0.15	5.91	0.74	14.81	2.98	2.37	0.39	-19.26	0.71	69.70	1.15	-7.00	3.12	-1.46	1.07	7.16	0.94	-1.08	0.21	-23.52	3.26	72.68	0.69	-5.25	1.95	-5.48	1.11	22.29	6.08	1.96	18.07	17.62	12.29	12.30	6.75	6.17	14.61	2.27	-19.41	69.34	-9.14	-2.10	7.12	7.08	-1.27	-0.83	-22.37	-28.38	72.68	73.65	-3.91	-7.32	-4.68	-6.98	20.91	6.20	0.55	17.83	12.18	5.69	11.93	2.03	-19.88	68.77	-8.44	-2.04	6.07	-1.00	-21.87	72.09	-3.29	-4.59	23.97	6.30	0.01	19.44	12.54	5.02	17.88	2.80	-18.49	70.99	-3.43	-0.22	8.37	-1.22	-21.48	72.31	-6.48	-5.65
